|product_id|review_id|name|rating|title|location|date|other|verified|body
0|B0B5W1YJN1|RG8E2MAGWZ6GD|Irene Aguilar|5|Enjoying my Keurig|United States|20230221|Color: GrayStyle: K-Supreme|True|Efficient, quiet and makes your coffee quickly. You can make up to a 12oz cup of coffee. The water container on the side with handle is the reason I purchased this Keurig. I was searching for a new Keurig and this one met all my needs!
1|B0B5W1YJN1|RS7J1KDLEUTO5|Sean Patrick Alexander|2|Brews Rich Smooth Coffee, many imperfections !|United States|20230221|Color: BlackStyle: K-Supreme|True|"The coffee this machine brews makes it a 5 Star Machine! However, it has some significant imperfections that reduce its value. I purchased a Keurig after many years of failures with lesser-known brands.

Pros:
The Multistream Technology
Removable water pitcher
Sleek design
66oz Water Pitcher

Cons:
The water pitcher is unstable in its stand, even completely filled.
The Descaling process is too complicated.
The use of a Keurig My K-Cup is confusing and impractical. The odds of breaking the Pod Holder Assembly is high.

Not recommended around Cats or children."
2|B0B5W1YJN1|RJUZLCVEVB0TC|Richard F.|4|Pretty good quick coffee.|United States|20230221|Color: GrayStyle: K-Supreme|True|This is the second of this model I have owned. First one lasted about 3 years. Certainly not as good as a drip coffee but not too bad and no waste. I can get pods for between 50 and 60 cents a cup. There are many brands to choose from.
3|B0B5W1YJN1|R28U36L1FFLPVM|Mastiff Enthusiast|5|Good improvement|United States|20230221|Color: GrayStyle: K-Supreme|True|We had a 10 year old keurig, and of had started not quite producing the amount of coffee it said. (10 oz for the 12oz setting) . Switched to this one. Prettier, slimmer, gives to the full 12oz, and tastes better. Success.
4|B0B5W1YJN1|R1SILC6UI29F44|C. R. Minter|2|Descaling light is faulty.|United States|20230220|Color: BlackStyle: K-Supreme|True|"Descaling light will not go off. Pot has been cleaned but light still on and I have wasted a lot of M
k. Cups and clean water."
5|B0B5W1YJN1|RMUUP8R51IXWU|Kindle Customer|3|Hi tech, and easy to use!|United States|20230220|Color: BlackStyle: K-Supreme SMART|True|I like the way you can set it up so easily and quickly and control. The temperature .
6|B0B5W1YJN1|R2QKXHJOGISG4Q|Amazon Customer|2|Disappointing 👎|United States|20230220|Color: GrayStyle: K-Supreme|True|It seems like I keep getting a cup of coffee grinds I have tried different pods once in a while I get a good cup that’s made right but it seems to be popping open my pods Very disappointing
7|B0B5W1YJN1|R2DTDBUFOF715Y|RENEE KINCAID|3|Grounds in coffee|United States|20230220|Color: GrayStyle: K-Supreme|True|Grounds in coffee
8|B0B5W1YJN1|R3OKD5HKBZTNJ2|Vance Bell|5|Better than my previous model|United States|20230220|Color: BlackStyle: K-Supreme SMART|True|Like the pitcher with a handle much easier to use than my previous model machine. Also like settling favorites for may various coffees.
9|B0B5W1YJN1|R2UYI6V7C7UD1R|Beth E. Lorentz|1|Just stopped working|United States|20230220|Color: BlackStyle: K-Supreme|True|This multi stream single serve Keurig is less than one year old, used daily for four cups of coffee only and it just stopped working! Very frustrating! Junk!
10|B0B5W1YJN1|R24GRKCLXZ75VH|Stevo|3|It works|United States|20230219|Color: BlackStyle: K-Supreme|True|Stopped working after 2 weeks
11|B0B5W1YJN1|RMPV4D259MIDH|detruck|1|Absolutely trash X 3|United States|20230219|Color: BlackStyle: K-Supreme|False|These are bad, last 1 to 3 months. Stupid me, bought 3 of them in a year and each one lasted for about 3 months. Getting a replacement they want a receipt which my wife says she saves them all but I buy these. Save a receipt for something costing $130? I don’t. But if you purchase this one, save yours because I would bet you that it will not last but maybe 3 months. It looks nice, but yours will break pretty quickly. Do not be fooled by the ratings, the ratings are wrong.
